Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100µ","CP_Radial_D8.0mm_P3.50mm",123.847349,-90.000000,0.000000,top
"C1a1","22µ","C_1206_3216Metric",150.500000,-110.475000,-90.000000,top
"C1a2","22µ","C_1206_3216Metric",153.000000,-115.475000,-90.000000,top
"C1a3","22µ","C_1206_3216Metric",155.500000,-110.475000,-90.000000,top
"C1a4","22µ","C_1206_3216Metric",158.000000,-115.475000,-90.000000,top
"C1a5","22µ","C_1206_3216Metric",160.500000,-110.475000,-90.000000,top
"C1a6","22µ","C_1206_3216Metric",163.000000,-115.475000,-90.000000,top
"C1a7","22µ","C_1206_3216Metric",165.500000,-110.475000,-90.000000,top
"C1b1","10µ","C_0805_2012Metric",170.500000,-97.450000,-90.000000,top
"C1b2","10µ","C_0805_2012Metric",174.000000,-97.450000,-90.000000,top
"C2","6.8n","C_0805_2012Metric",127.000000,-99.950000,-90.000000,top
"C3","100p","C_0805_2012Metric",134.000000,-97.950000,-90.000000,top
"C4","4.7µ","C_0805_2012Metric",154.050000,-98.500000,0.000000,top
"C6","22µ","C_1206_3216Metric",135.350000,-88.000000,-90.000000,top
"C7","22µ","C_1206_3216Metric",132.000000,-88.000000,-90.000000,top
"D1","MBR735","TO-220-2_Vertical",171.000000,-91.500000,180.000000,top
"J2","J2_OUT","PinHeader_1x02_P2.54mm_Vertical",178.000000,-99.500000,0.000000,top
"J3","Proto_1","PinHeader_1x05_P2.54mm_Vertical",133.000000,-106.500000,-90.000000,top
"J4","Proto_GND","PinHeader_1x05_P2.54mm_Vertical",133.000000,-111.500000,-90.000000,top
"J5","Proto_2","PinHeader_1x05_P2.54mm_Vertical",133.000000,-116.000000,-90.000000,top
"J_VIN1","J_VIN_OUT","PinHeader_1x02_P2.54mm_Vertical",141.500000,-87.000000,0.000000,top
"L1","10µ","L_Coilcraft_XAL6060-XXX",154.980000,-83.000000,0.000000,top
"Q1","SI4894BDY","SOIC-8_3.9x4.9mm_P1.27mm",159.725000,-103.405000,0.000000,top
"Q2","DMP3099L","SOT-23",151.450000,-92.562500,90.000000,top
"R1","68.1k","R_0805_2012Metric",139.587500,-103.000000,0.000000,top
"R2","56k","R_0805_2012Metric",167.500000,-103.912500,-90.000000,top
"R3","499k","R_0805_2012Metric",167.500000,-99.412500,90.000000,top
"R4","8.66k","R_0805_2012Metric",130.587500,-97.000000,0.000000,top
"R5","549k","R_0805_2012Metric",147.500000,-90.912500,-90.000000,top
"R6","100K","R_0805_2012Metric",147.500000,-95.087500,-90.000000,top
"U1","LTC1871EMS-7-PBF","MSOP-10_3x3mm_P0.5mm",148.000000,-101.000000,0.000000,top
