Comment,Designator,Footprint,LCSC,Quantity
8.66k,R4,R_0805_2012Metric,,1
100p,C3,C_0805_2012Metric,,1
J_VIN_OUT,J_VIN1,PinHeader_1x02_P2.54mm_Vertical,,1
10µ,C1b2,C_0805_2012Metric,,1
J2_OUT,J2,PinHeader_1x02_P2.54mm_Vertical,,1
56k,R2,R_0805_2012Metric,,1
22µ,C1a4,C_1206_3216Metric,,1
49k,R5,R_0805_2012Metric,,1
22µ,C1a7,C_1206_3216Metric,,1
100µ,C5,CP_Radial_D8.0mm_P3.50mm,,1
22Âµ,C1a3,C_1206_3216Metric,,1
4.7Âµ,C4,C_0805_2012Metric,,1
6.8n,C2,C_0805_2012Metric,,1
10k,R7,R_0805_2012Metric,,1
22Âµ,C1a1,C_1206_3216Metric,,1
10Âµ,C1b1,C_0805_2012Metric,,1
499k,R3,R_0805_2012Metric,,1
22Âµ,C7,C_1206_3216Metric,,1
22Âµ,C1a6,C_1206_3216Metric,,1
68.1k,R1,R_0805_2012Metric,,1
SI4894BDY,Q1,SOIC-8_3.9x4.9mm_P1.27mm,,1
LTC1871EMS-7-PBF,U1,MSOP-10_3x3mm_P0.5mm,,1
10Âµ,L1,L_Coilcraft_XAL6060-XXX,,1
22Âµ,C1a5,C_1206_3216Metric,,1
SS14,D2,D_SMA,,1
100Âµ,C1,CP_Radial_D8.0mm_P3.50mm,,1
10K,R6,R_0805_2012Metric,,1
MBR735,D1,TO-220-2_Vertical,,1
22µ,C6,C_1206_3216Metric,,1
22µ,C1a2,C_1206_3216Metric,,1
DMP3099L,Q2,SOT-23,,1
10k,R9,R_0402_1005Metric,,1
5.38k,R8,R_0402_1005Metric,,1
Q_NPN_BEC,Q4,SOT-23,,1
BZX84,D3,SOT-23,,1
